record_id,disease_domain,organization___1,organization___2,organization___3,organization___4,organization___5,organization___6,organization___7,organization___8,organization___9,organization___10,leadership,professional_position,years_professional_experience,country,curation_orgs___1,curation_orgs___2,curation_orgs___3,curation_orgs___4,curation_orgs___5,curation_orgs___6,other_orgs,gender,clin_diag_setting,research_purposes,returning_to_patients,discussing_with_patients,discussing_with_labs,multidisciplinary_meeting,vcep_gcep,genetic_variant_assessment,variant_volume,proportion_vus,functional_data_avail,reinterpretation_vus_1,reinterpretation_vus_2,conflicting_evidence,handling_conflicting_evid,eval_func_data_research,curate_func_data_class,use_func_data_clin_setting,req_func_evidence_diag_lab,req_func_evid_research_lab,req_hearing_vision_lab,req_not_hearing_vision_lab,other_activities,biochemical_assays,splice_transcriptomics,pat_cell_models,gene_edit_cell,unclear_mech,animal_models,ko_mouse_models,ki_mouse_models,zf_mo,zf_ko,zf_ki,fly_ortholog,fly_no_orth,other_categories,func_data_literature,func_data_distilled_lit,func_data_mouse_db,func_data_zf_db,func_data_mavedb,func_data_xenbase_db,func_data_other_db,func_predictors,func_data_mave_db,acmg_amp_guidelines,func_evidence_guidelines,splice_evid_guideline,vcep_specific_guidelines,svi_func_assay_assessment,hearing_loss_guidelines,mult_hl_genes_vcep,otof_myo15a_hl_genes_vcep,rpe65_lca_rd_vcep1,myoc_glaucoma_vcep,other_func_evid_guidelines,insuff_training,insuff_lof,insuff_gof,dom_neg_literature,haplo_databases,red_pen_lit,quality_func_evid,accuracy_func_evid,locating_primary_lit,var_databases,under_func_evi,under_databases,transcripts_hear_vision,other_barriers,workshops_on_use_func_data,ceu_cme_credit,non_ceu_cme_credit,online_training_worksheets,general_guidelines,gene_specific_guidelines,disease_spec_guidelines,access_clinvar_func_data,access_stand_interp_data,request_func_data,request_mave,other_access,literature_clin_utility,mave_clin_utility,more_clin_stud_clin_util,more_clin_stud_maves,clinvar_transc_statement,gene_level_plof,gene_level_dif_var,gene_level_func_evid,primary_lit,exp_design_clinvar,lof_gof_dom_neg,confidence_accuracy,links_to_primary_data,multiple_sources_listed,multiple_conflict_sources,standardized_interp,final_comments,assessment_of_current_and_future_approaches_to_add_complete
5,H,1,0,0,0,0,0,0,0,0,0,1,Lab director,More than 20,United States of America,0,0,0,0,0,0,"",Female,2,2,2,2,2,2,1,1,More than 100,Some,Some,11-25,Some,Yes,Discuss details with authors.,2,2,2,2,2,2,2,"",4,4,4,4,3,4,4,4,4,4,4,4,3,"",6,4,6,6,6,1,1,4,1,5,5,5,1,5,5,5,5,1,1,"",1,1,1,1,1,1,1,1,2,2,1,2,2,"",1,1,1,1,1,1,1,4,4,4,1,"",3,2,4,5,5,5,5,5,5,5,5,3,5,5,5,4,"",2
8,H+V,1,0,0,0,0,0,0,0,0,0,1,Laboratory medical geneticist,0-5,France,1,0,0,0,0,0,"",Male,2,2,1,1,2,2,2,1,More than 100,Many,Some,11-25,Many,No,"",2,2,2,2,2,2,2,"",4,4,5,4,4,4,5,5,4,4,4,3,3,"",5,3,4,4,1,1,1,5,1,5,6,6,6,6,6,6,6,6,6,"",3,1,3,3,2,3,4,3,3,2,3,3,1,"",4,4,4,3,4,4,4,4,4,4,4,"",3,1,2,2,4,4,4,4,4,4,5,4,4,4,4,2,"",2
9,H,1,0,0,0,0,0,0,0,0,0,1,Clinical geneticist,11-15,Germany,0,0,1,0,0,1,"",Female,2,2,2,2,2,2,3,1,More than 100,A moderate amount,Some,1-10,Some,No,"",2,2,2,2,2,2,2,"",4,4,4,4,3,3,4,3,3,4,3,3,2,"",5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,"",3,2,3,3,2,4,4,4,3,3,4,4,2,"",4,4,3,3,4,4,,4,4,5,4,"",3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,"",2
12,H+V,1,0,0,0,0,0,0,0,0,0,0,Research scientist,6-10,Netherlands,0,0,1,0,0,0,"",Female,1,2,1,1,2,2,3,1,More than 100,Many,Some,51-100,Many,Yes,"Often regarding splice-altering variants, depending on the in vitro model used to determine the splice defect, different results were encountered (e.g. HEK293T vs iPSC-derived models). ",2,3,1,1,2,2,2,"",4,3,5,4,3,3,4,4,2,4,4,,2,"",5,3,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,5,5,I am not using or familiar with all the guidelines mentioned above. There are too many different guidelines around and it is overwhelming/confusing what to use sometimes.     I only perform classifications in a research settings and like to use automated platforms like Franklin Genoox for this. ,4,3,4,4,3,4,5,3,2,2,2,2,3,Interpretation and classification guidelines are being applied in a different way by different individuals. It often feels like for me that everyone follows their own 'rules' regarding functional evidence (because of a lack of knowledge?),2,2,2,4,4,2,2,4,4,4,4,"",2,2,4,4,4,3,4,4,4,2,4,4,4,4,4,5,"",2
14,H,0,0,0,0,0,0,0,0,0,1,0,Research scientist,0-5,Tunisia,0,0,0,0,0,0,"",Female,3,2,1,1,2,2,2,1,1-10,A moderate amount,Some,1-10,Some,No,"",2,3,2,2,3,3,3,"",5,5,5,4,3,3,4,4,4,4,4,4,4,"",5,5,6,5,1,1,1,4,1,6,6,1,6,6,6,6,6,1,1,"",3,2,3,2,2,2,3,3,3,2,3,2,3,"",5,5,5,5,5,5,5,5,5,5,5,"",4,4,5,5,5,5,4,4,5,5,5,4,5,4,4,4,"",2
17,H+V,1,0,0,1,0,0,0,0,0,0,1,Lab director,11-15,Italy,0,0,0,0,0,0,"",Female,2,2,2,2,2,2,3,1,26-50,Some,Some,1-10,Some,No,"",2,2,2,1,1,1,1,"",2,5,3,3,3,1,1,1,1,1,1,1,1,"",3,6,3,1,1,1,1,6,3,6,6,6,4,4,6,6,6,3,3,"",3,3,3,3,2,2,2,2,3,3,3,2,3,"",5,3,3,2,3,3,3,4,4,2,2,"",3,3,5,5,5,5,5,5,5,4,4,5,5,5,5,5,"",2
19,H+V,1,0,0,0,0,0,0,0,0,0,1,Lab director,16-20,Brazil,0,0,0,0,0,0,"",Female,2,2,2,2,2,3,3,1,51-100,A moderate amount,Some,None,None,No,"",2,2,3,3,3,3,3,"",3,3,5,4,3,5,5,5,3,4,4,4,,"",4,5,5,5,4,4,4,4,1,5,6,6,1,1,6,6,6,6,6,"",4,4,4,4,4,4,4,4,3,3,3,3,3,"",5,5,5,5,5,5,5,5,5,5,5,"",2,3,4,4,5,5,4,3,4,4,5,5,5,5,5,3,"",2
22,H,1,0,0,1,0,0,0,0,0,0,1,Genetic counselor,0-5,United States of America,0,0,0,0,0,0,"",Female,2,2,2,2,2,2,2,1,More than 100,Very many,Some,1-10,Some,Yes,"",2,3,2,3,3,2,2,"",3,4,4,4,3,4,4,4,3,3,3,2,2,"",5,5,4,4,1,1,4,5,5,5,5,5,5,5,6,6,5,4,4,"",3,4,4,4,3,4,3,4,3,3,3,3,3,"",5,5,4,4,4,4,4,5,4,5,5,"",3,3,4,4,5,3,4,4,4,3,4,4,4,4,4,4,"",2
24,H,0,1,0,0,0,0,0,0,0,0,1,Lab director,6-10,China,1,0,0,0,0,0,"",Male,2,2,2,2,2,2,2,1,More than 100,Many,Some,11-25,Some,Yes,"",2,2,2,2,2,2,2,"",3,4,4,4,3,4,4,5,3,3,3,3,3,"",5,5,4,4,4,4,4,3,4,6,6,6,6,6,6,6,6,6,6,"",4,4,4,4,3,4,3,3,2,2,2,2,2,"",5,4,4,4,5,5,5,5,5,5,4,"",1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"",2
25,H,0,0,0,0,0,1,0,0,0,0,0,Molecular genetic pathologist,More than 20,Spain,1,0,0,0,0,0,"",Male,2,2,2,3,2,2,2,1,51-100,Many,A moderate amount,1-10,Some,Yes,"two different paper with different result, using different assays",2,3,2,3,2,2,2,"",4,4,4,4,4,5,3,5,3,4,,3,2,"",5,4,5,5,5,5,5,4,4,6,6,6,6,6,,6,6,6,6,"",4,4,5,5,4,5,5,5,4,4,4,5,5,"",4,4,4,4,4,4,5,2,2,3,4,"",4,3,5,5,5,4,4,3,4,5,5,5,5,5,5,5,"",2
